Politician,Ticker,Annualized Percentage Profit,Purchase Transaction IDs,Sell Transaction IDs,Total Purchase Amount,Total Sell Amount,Last Save ID,Last Sale ID,Transaction ID,Reporting Gap
Chris Jacobs,IIPR,-209.30852346952145,[20003750779],[20003753258],32500.0,8000.0,20003753258,20003753258,20003753258,53
Chris Jacobs,JPM,84.92011051733054,"[20003755789, 20003757784]",[20003758565],16000.0,8000.0,20003758565,20003758565,20003758565,39
Chris Jacobs,KOD,-80.6637716900184,[20003753262],[20003757785],8000.0,8000.0,20003757785,20003757785,20003757785,34
Chris Jacobs,KOS,-41.69674206972523,[20003723724],[20003750781],8000.0,32500.0,20003750781,20003750781,20003750781,42
Chris Jacobs,KRG,22.402187125392693,[20003750780],[20003753261],32500.0,8000.0,20003753261,20003753261,20003753261,53
Chris Jacobs,NBR,-63.627910236863485,[20003723725],[20003750783],8000.0,32500.0,20003750783,20003750783,20003750783,42
Chris Jacobs,NOTV,-164.06207531289772,[20003753259],[20003758563],8000.0,8000.0,20003758563,20003758563,20003758563,39
Chris Jacobs,OCGN,-40.01769048949409,[20003750789],[20003757786],32500.0,8000.0,20003757786,20003757786,20003757786,34
Chris Jacobs,PCVX,-14.856854910175874,[20003757795],[20003758582],8000.0,8000.0,20003758582,20003758582,20003758582,39
Chris Jacobs,PFE,-17.173018109873933,[20003753269],"[20003755791, 20003758574]",8000.0,16000.0,20003758574,20003758574,20003758574,39
Chris Jacobs,PLUG,-31.671384559987082,[20003753271],[20003757788],8000.0,8000.0,20003757788,20003757788,20003757788,34
Chris Jacobs,PR,-12.167633034971672,"[20003670898, 20003723722]","[20003750768, 20003753245]",16000.0,16000.0,20003753245,20003753245,20003753245,53
Chris Jacobs,PTEN,-6.514292063361359,[20003723727],[20003750790],8000.0,32500.0,20003750790,20003750790,20003750790,42
Chris Jacobs,RLMD,-466.9852753480276,[20003757789],[20003758577],8000.0,8000.0,20003758577,20003758577,20003758577,39
Chris Jacobs,SAVA,-154.43933758078427,[20003750767],[20003753244],32500.0,8000.0,20003753244,20003753244,20003753244,53
Chris Jacobs,SAVA,-36.56714791375518,[20003755782],[20003757773],8000.0,8000.0,20003757773,20003757773,20003757773,34
Chris Jacobs,SBRA,-36.194609632955896,[20003750795],[20003757790],32500.0,8000.0,20003757790,20003757790,20003757790,34
Chris Jacobs,SM,-54.89827543701599,[20003723729],[20003753275],8000.0,8000.0,20003753275,20003753275,20003753275,53
Chris Jacobs,STNG,-29.317181909368134,[20003750796],[20003753273],8000.0,8000.0,20003753273,20003753273,20003753273,53
Chris Jacobs,TELL,-179.78369921229705,[20003723730],[20003750797],8000.0,8000.0,20003750797,20003750797,20003750797,42
Chris Jacobs,TELL,-46.98309626763292,[20003753276],"[20003755793, 20003757793]",8000.0,16000.0,20003757793,20003757793,20003757793,34
Chris Jacobs,TSLA,-75.07058557375498,[20003753277],[20003758580],8000.0,8000.0,20003758580,20003758580,20003758580,39
Chris Jacobs,UBSI,15.085018186219648,[20003750799],[20003753279],32500.0,8000.0,20003753279,20003753279,20003753279,53
Chris Jacobs,UEC,-225.92713616279704,[20003723732],[20003750800],8000.0,32500.0,20003750800,20003750800,20003750800,42
Chris Jacobs,UEC,-134.19117647058823,[20003757794],[20003758581],8000.0,8000.0,20003758581,20003758581,20003758581,39
Chris Jacobs,UUUU,-255.4201873032482,[20003723723],[20003750771],8000.0,8000.0,20003750771,20003750771,20003750771,42
Chris Jacobs,VTNR,-138.68350864131548,[20003753281],[20003755794],8000.0,8000.0,20003755794,20003755794,20003755794,40
Chris Jacobs,VTRS,-66.64572782340673,"[20003750802, 20003750801]",[20003753282],40500.0,8000.0,20003753282,20003753282,20003753282,53
Chris Jacobs,XOM,16.418538058730086,"[20003753253, 20003755786, 20003757776]",[20003758557],24000.0,8000.0,20003758557,20003758557,20003758557,39
Chris Jacobs,XPRO,13.63557059069032,[20003755785],[20003758556],8000.0,8000.0,20003758556,20003758556,20003758556,39
Chuck Fleischmann,CALF,-27.600500815721137,[20003759027],[20003762998],8000.0,8000.0,20003762998,20003762998,20003762998,13
Chuck Fleischmann,CALF,72.35832620841008,[20003769242],[20003770931],8000.0,8000.0,20003770931,20003770931,20003770931,14
Chuck Fleischmann,DKNG,-104.10379017332028,[20003692671],[20003708746],8000.0,8000.0,20003708746,20003708746,20003708746,27
Chuck Fleischmann,DKNG,-11.702148118042821,[20003713212],[20003763003],8000.0,8000.0,20003763003,20003763003,20003763003,29
Chuck Fleischmann,DXJ,1.0759086964110756,[20003723702],[20003755809],8000.0,8000.0,20003755809,20003755809,20003755809,26
Chuck Fleischmann,EMXC,3.385672978111419,[20003672247],[20003707237],8000.0,8000.0,20003707237,20003707237,20003707237,18
Chuck Fleischmann,EWU,0.983864853604854,[20001641564],[20003723687],8000.0,8000.0,20003723687,20003723687,20003723687,21
